gene_name,go_biological_process
LMBR1L,hematopoietic stem cell differentiation
CHD2,hematopoietic stem cell differentiation
UFL1,hematopoietic stem cell differentiation
UFL1,hematopoietic stem cell differentiation
TP53,hematopoietic stem cell differentiation
BCL2,hematopoietic stem cell differentiation
SRF,hematopoietic stem cell differentiation
ACE,hematopoietic stem cell differentiation
XRCC5,hematopoietic stem cell differentiation
HOXB4,hematopoietic stem cell differentiation
TAL1,hematopoietic stem cell differentiation
ERCC2,hematopoietic stem cell differentiation
ZFP36,hematopoietic stem cell differentiation
MLLT3,hematopoietic stem cell differentiation
MEOX1,hematopoietic stem cell differentiation
CDK6,hematopoietic stem cell differentiation
MED1,hematopoietic stem cell differentiation
EXT1,hematopoietic stem cell differentiation
BATF,hematopoietic stem cell differentiation
BATF,hematopoietic stem cell differentiation
LMBR1L,hematopoietic stem cell differentiation
LMBR1L,hematopoietic stem cell differentiation
SFRP1,hematopoietic stem cell differentiation
SP7,hematopoietic stem cell differentiation
SH2B3,hematopoietic stem cell differentiation
GBA,hematopoietic stem cell proliferation
A0A140VJU3,hematopoietic stem cell proliferation
A0A384N611,hematopoietic stem cell proliferation
YJEFN3,hematopoietic stem cell proliferation
WNT10B,hematopoietic stem cell proliferation
WNT10B,hematopoietic stem cell proliferation
SNAI2,hematopoietic stem cell proliferation
ARIH2,hematopoietic stem cell proliferation
ARIH2,hematopoietic stem cell proliferation
GBA1,hematopoietic stem cell proliferation
WNT1,hematopoietic stem cell proliferation
XRCC5,hematopoietic stem cell proliferation
HOXB4,hematopoietic stem cell proliferation
ERCC2,hematopoietic stem cell proliferation
CD34,hematopoietic stem cell proliferation
ETV6,hematopoietic stem cell proliferation
WNT5A,hematopoietic stem cell proliferation
WNT5A,hematopoietic stem cell proliferation
CEBPA,hematopoietic stem cell proliferation
BRCA2,hematopoietic stem cell proliferation
RUNX1,hematopoietic stem cell proliferation
MECOM,hematopoietic stem cell proliferation
SART3,hematopoietic stem cell proliferation
SHB,hematopoietic stem cell proliferation
CTC1,hematopoietic stem cell proliferation
NKAP,hematopoietic stem cell proliferation
WNT2B,hematopoietic stem cell proliferation
SFRP2,hematopoietic stem cell proliferation
SFRP2,hematopoietic stem cell proliferation
BABAM1,hematopoietic stem cell proliferation
YTHDF2,hematopoietic stem cell proliferation
YTHDF2,hematopoietic stem cell proliferation
GPR56,hematopoietic stem cell homeostasis
SEPTIN4,hematopoietic stem cell homeostasis
GATA2,hematopoietic stem cell homeostasis
CCN3,hematopoietic stem cell homeostasis
ADAR,hematopoietic stem cell homeostasis
FOXA3,hematopoietic stem cell homeostasis
SOX4,hematopoietic stem cell homeostasis
ARHGEF5,hematopoietic stem cell homeostasis
FSTL1,hematopoietic stem cell homeostasis
TCIRG1,hematopoietic stem cell homeostasis
UBAP2L,hematopoietic stem cell homeostasis
UBAP2L,hematopoietic stem cell homeostasis
UBAP2L,hematopoietic stem cell homeostasis
EXT1,hematopoietic stem cell homeostasis
EMCN,hematopoietic stem cell homeostasis
OCIAD2,hematopoietic stem cell homeostasis
NBEA,hematopoietic stem cell homeostasis
MYCT1,hematopoietic stem cell homeostasis
BAP1,hematopoietic stem cell homeostasis
GPRASP2,hematopoietic stem cell homeostasis
ZNF251,hematopoietic stem cell homeostasis
GLIS2,hematopoietic stem cell homeostasis
CRISPLD1,hematopoietic stem cell homeostasis
NLE1,hematopoietic stem cell homeostasis
OCIAD1,hematopoietic stem cell homeostasis
ARMCX1,hematopoietic stem cell homeostasis
EMCN,hematopoietic stem cell homeostasis
ADGRG1,hematopoietic stem cell homeostasis
